InitialBasket	SecondBasket	TotalFrequency	Support	Confidence	Lift
Bron-Y-Aur Stomp	Boogie With Stu	1	0.05	100	19.84
Brumário	American Woman	1	0.05	100	19.84
Bullet With Butterfly Wings	Ali	1	0.05	100	19.84
Bumbo Da Mangueira	All Star	1	0.05	100	19.84
Burn Away	Avisa	1	0.05	100	19.84
Bush Doctor	Alive	1	0.05	100	19.84
Bush Doctor	Bicycle Race	1	0.05	100	19.84
Bye Bye Blackbird	Agora Que O Dia Acordou	1	0.05	100	19.84
Bye Bye Blackbird	Boogie Blues	1	0.05	100	19.84
Bê-a-Bá	A Sua	1	0.05	100	19.84
C'Mon Everybody	A Statistic	1	0.05	100	19.84
C'Mon Everybody	All For You	1	0.05	100	19.84
Cabeça Dinossauro	Balanço	1	0.05	100	19.84
Cafezinho	Always With Me, Always With You	1	0.05	100	19.84
Californication	Ali	1	0.05	100	19.84
Californication	Bullet With Butterfly Wings	1	0.05	100	19.84
Camarão que Dorme e Onda Leva	Atomic Punk	1	0.05	100	19.84
Camisa Verde 2001	Advance Romance	1	0.05	100	19.84
Can I Play With Madness	Blood Brothers	1	0.05	50	4.96
Can You See Me	Black Capricorn Day	1	0.05	100	19.84
Can't Keep	Beach Sequence	1	0.05	100	19.84
Can't Keep	Big Wave	1	0.05	100	19.84
Can't Stand Losing You	Anyway, Anyhow, Anywhere	1	0.05	100	19.84
Can't Stop	By The Way	1	0.05	100	19.84
Can't Stop Loving You	Ain't Talkin' 'bout Love	1	0.05	100	19.84
Can't Stop Loving You	Bring Me Your Cup	1	0.05	100	19.84
Canon and Gigue in D Major: I. Canon	Call Me a Dog	1	0.05	100	19.84
Canta, Canta Mais	A.N.D.R.O.T.A.Z.	1	0.05	100	19.84
Caprichosos	'Round Midnight	1	0.05	100	19.84
Caprichosos	Beija-Flor	1	0.05	100	19.84
Carol	Amazing	1	0.05	100	19.84
Carol	Blood In The Wall	1	0.05	100	19.84
Carol	Bored To Tears	1	0.05	100	19.84
Carta Ao Tom 74	Berimbau	1	0.05	100	19.84
Casa	A Cura	1	0.05	100	19.84
Casa	A Menina Dança	1	0.05	100	19.84
Casa	Abraham, Martin And John	1	0.05	100	19.84
Casa	Aloha	1	0.05	100	19.84
Cascades : I'm Not Your Lover	Acelerou	1	0.05	100	9.92
Cascades : I'm Not Your Lover	Action	1	0.05	100	19.84
Cascades : I'm Not Your Lover	Azul	1	0.05	100	19.84
Cascades : I'm Not Your Lover	Black Night	1	0.05	100	19.84
Caso Você Queira Saber	Aos Leões	1	0.05	100	19.84
Catch-22	"""?"""	1	0.05	100	19.84
Catch-22	Acrobat	1	0.05	100	19.84
Celebration Day	Assim Caminha A Humanidade	1	0.05	50	9.92
Chains Of Misery	05 - Phantom of the Opera	1	0.05	100	19.84
Chains Of Misery	Aces High	1	0.05	100	19.84
Chains Of Misery	Age Of Innocence	1	0.05	100	19.84
Changes	A Paz	1	0.05	100	19.84
Chaos-Control	(White Man) In Hammersmith Palais	1	0.05	100	19.84
Chaos-Control	Bankrobber	1	0.05	100	19.84
Chaos-Control	Breathe	1	0.05	100	19.84
Chega no Suingue	Call Me a Dog	1	0.05	100	19.84
Chega no Suingue	Canon and Gigue in D Major: I. Canon	1	0.05	100	19.84
Chemical Wedding	A.N.D.R.O.T.A.Z.	1	0.05	100	19.84
Chemical Wedding	Canta, Canta Mais	1	0.05	100	19.84
Cherub Rock	Aeroplane Flies High	1	0.05	100	19.84
Cherub Rock	Ava Adore	1	0.05	100	19.84
Child In Time	Admirável Gado Novo	1	0.05	100	19.84
Childhoods End?	Assim Caminha A Humanidade	1	0.05	100	19.84
Childhoods End?	Celebration Day	1	0.05	100	9.92
Children Of The Grave	Blue Train	1	0.05	100	19.84
Chão De Estrelas	Black Satin	1	0.05	100	19.84
Chão De Estrelas	Blue Rythm Fantasy	1	0.05	100	19.84
Chão De Estrelas	Bop Boogie	1	0.05	100	19.84
Cigano	Acelerou	1	0.05	100	9.92
Cigano	Action	1	0.05	100	19.84
Cigano	Azul	1	0.05	100	19.84
Cigano	Black Night	1	0.05	100	19.84
Cigano	Cascades : I'm Not Your Lover	1	0.05	100	19.84
City Of Blinding Lights	...And Found	1	0.05	100	19.84
City Of Blinding Lights	Adrift	1	0.05	100	19.84
Civil War	Anything Goes	1	0.05	100	19.84
Closer To The Heart	Ali	1	0.05	100	19.84
Closer To The Heart	Bullet With Butterfly Wings	1	0.05	100	19.84
Closer To The Heart	Californication	1	0.05	100	19.84
Cochise	A.N.D.R.O.T.A.Z.	1	0.05	100	19.84
Cochise	Canta, Canta Mais	1	0.05	100	19.84
Cochise	Chemical Wedding	1	0.05	100	19.84
Cold Gin	Calling Dr. Love	1	0.05	100	19.84
Colibri	Breakdown	1	0.05	100	19.84
Coma	Back off Bitch	1	0.05	100	19.84
Come Fly With Me	Beira Mar	1	0.05	100	19.84
Começaria Tudo Outra Vez	'Round Midnight	1	0.05	100	19.84
Começaria Tudo Outra Vez	Beija-Flor	1	0.05	100	19.84
Começaria Tudo Outra Vez	Caprichosos	1	0.05	100	19.84
Comida	Balanço	1	0.05	100	19.84
Comida	Cabeça Dinossauro	1	0.05	100	19.84
Comin' Home	Always With Me, Always With You	1	0.05	50	9.92
Comin' Home	Cafezinho	1	0.05	50	9.92
Commercial 2	Armadura	1	0.05	100	19.84
Commercial 2	Billie Jean	1	0.05	100	19.84
Communication Breakdown	Advance Romance	1	0.05	50	9.92
Communication Breakdown	Black Mountain Side	1	0.05	50	9.92
Communication Breakdown	Camisa Verde 2001	1	0.05	50	9.92
Communication Breakdown(2)	Carolina Hard-Core Ecstasy	1	0.05	100	19.84
Como É Duro Trabalhar	As Rosas Não Falam (Beth Carvalho)	1	0.05	100	19.84
Company Man	"""?"""	1	0.05	100	19.84
Company Man	Acrobat	1	0.05	100	19.84
Company Man	Catch-22	1	0.05	100	19.84
Comportamento Geral	Ando Meio Desligado	1	0.05	100	19.84
Compulsion	As Rosas Não Falam (Beth Carvalho)	1	0.05	100	19.84
Compulsion	Como É Duro Trabalhar	1	0.05	100	19.84
Computadores Fazem Arte	Banditismo Por Uma Questa	1	0.05	100	9.92
Concerto for Piano No. 2 in F Minor, Op. 21: II. Larghetto	Concerto No.2 in F Major, BWV1047, I. Allegro	1	0.05	100	19.84
Condição	2 X 4	1	0.05	100	19.84
Condição	Aquilo	1	0.05	100	19.84
Condição	Assaltaram A Gramática	1	0.05	100	19.84
Confusion	Angela	1	0.05	100	19.84
Confusion	Bleed The Freak	1	0.05	100	19.84
Copacabana (Live)	Assum Preto	1	0.05	100	19.84
Copacabana (Live)	Bad, Bad Leroy Brown	1	0.05	100	19.84
Coração Em Desalinho	Atomic Punk	1	0.05	100	19.84
Coração Em Desalinho	Camarão que Dorme e Onda Leva	1	0.05	100	19.84
Coração do Agreste (Fafá de Belém)	Bad Moon Rising	1	0.05	100	19.84
Corinna	Back Door Man	1	0.05	100	19.84
Corinna	Black Moon Creeping	1	0.05	100	19.84
Cornucopia	Body Count Anthem	1	0.05	100	19.84
Cornucopia	Bowels Of The Devil	1	0.05	100	19.84
Coroné Antonio Bento	Born To Move	1	0.05	100	19.84
Coroné Antonio Bento	Brasil	1	0.05	100	9.92
Cotton Fields	Before You Accuse Me	1	0.05	100	9.92
Crash Course In Brain Surgery	Am I Evil?	1	0.05	100	19.84
Crash Course In Brain Surgery	Breadfan	1	0.05	100	19.84
Creeping Death	All Within My Hands	1	0.05	100	19.84
Creeping Death	Attitude	1	0.05	100	19.84
Criança De Domingo	Banditismo Por Uma Questa	1	0.05	100	9.92
Criança De Domingo	Computadores Fazem Arte	1	0.05	100	19.84
Cropduster	1/2 Full	1	0.05	100	19.84
Cropduster	Any Colour You Like	1	0.05	100	19.84
Cropduster	Black	1	0.05	100	19.84
Crossroads	Acelerou	1	0.05	100	9.92
Crossroads	Alô, Alô, Marciano	1	0.05	100	19.84
Crossroads	As Aparências Enganam	1	0.05	100	19.84
Crossroads	Atrás da Porta	1	0.05	100	19.84
Crossroads, Pt. 1	"""?"""	1	0.05	100	19.84
Crossroads, Pt. 1	Acrobat	1	0.05	100	19.84
Crossroads, Pt. 1	Catch-22	1	0.05	100	19.84
Crossroads, Pt. 1	Company Man	1	0.05	100	19.84
Crossroads, Pt. 2	Better Halves	1	0.05	100	19.84
Crystal Ball	Arc	1	0.05	100	19.84
Crystal Ball	Bohemian Rhapsody	1	0.05	100	19.84
Crystal Ball	Brain Damage	1	0.05	100	19.84
Cursed Diamonds	(White Man) In Hammersmith Palais	1	0.05	100	19.84
Cursed Diamonds	Bankrobber	1	0.05	100	19.84
Cursed Diamonds	Breathe	1	0.05	100	19.84
Cursed Diamonds	Chaos-Control	1	0.05	100	19.84
Cuyahoga	Can't Get There From Here	1	0.05	100	19.84
Cérebro Eletrônico	A Cura	1	0.05	100	19.84
Cérebro Eletrônico	A Menina Dança	1	0.05	100	19.84
Cérebro Eletrônico	Abraham, Martin And John	1	0.05	100	19.84
Cérebro Eletrônico	Aloha	1	0.05	100	19.84
Cérebro Eletrônico	Casa	1	0.05	100	19.84
Da Lama Ao Caos	Banditismo Por Uma Questa	1	0.05	100	9.92
Da Lama Ao Caos	Computadores Fazem Arte	1	0.05	100	19.84
Da Lama Ao Caos	Criança De Domingo	1	0.05	100	19.84
Damage Case	Cure	1	0.05	100	19.84
Dance	Aos Leões	1	0.05	100	19.84
Dance	Caso Você Queira Saber	1	0.05	100	19.84
Dance Enquanto é Tempo	All My Love	1	0.05	100	19.84
Dance Of Death	09 - Iron Maiden	1	0.05	100	19.84
Dance Of Death	Afraid To Shoot Strangers	1	0.05	100	9.92
Dance Of Death	Bring Your Daughter... To The Slaughter	1	0.05	100	19.84
Dancing Barefoot	"""?"""	1	0.05	100	19.84
Dancing Barefoot	Acrobat	1	0.05	100	19.84
Dancing Barefoot	Catch-22	1	0.05	100	19.84
Dancing Barefoot	Company Man	1	0.05	100	19.84
Dancing Barefoot	Crossroads, Pt. 1	1	0.05	100	19.84
Dancing Days	All My Love	1	0.05	100	19.84
Dancing Days	Dance Enquanto é Tempo	1	0.05	100	19.84
Dancing In The Street	Big Machine	1	0.05	100	19.84
Dandelion	Body Count Anthem	1	0.05	100	19.84
Dandelion	Bowels Of The Devil	1	0.05	100	19.84
Dandelion	Cornucopia	1	0.05	100	19.84
Danny Boy, Danny Boy	Chapa o Coco	1	0.05	100	19.84
Dança Da Solidão	2 X 4	1	0.05	100	19.84
Dança Da Solidão	Aquilo	1	0.05	100	19.84
Dança Da Solidão	Assaltaram A Gramática	1	0.05	100	19.84
Dança Da Solidão	Condição	1	0.05	100	19.84
Dark Corners	Creep	1	0.05	100	19.84
Dave	All Along The Watchtower	1	0.05	100	19.84
Dave	Born to Run	1	0.05	100	19.84
Dazed And Confused	All My Love	1	0.05	50	9.92
Dazed And Confused	Are You Gonna Go My Way	1	0.05	50	9.92
Dazed And Confused	Believe	1	0.05	50	4.96
Dazed And Confused	Dance Enquanto é Tempo	1	0.05	50	9.92
Dazed And Confused	Dancing Days	1	0.05	50	9.92
Dazed and Confused	All Star	1	0.05	50	9.92
Dazed and Confused	Bumbo Da Mangueira	1	0.05	50	9.92
De Do Do Do, De Da Da Da	Babylon	1	0.05	100	19.84
De Do Do Do, De Da Da Da	Boris The Spider	1	0.05	100	19.84
De La Luz	Brain Stew	1	0.05	100	19.84
De Noite Na Cama	American Woman	1	0.05	100	19.84
De Noite Na Cama	Brumário	1	0.05	100	19.84
Dead And Bloated	Bleed Together	1	0.05	100	19.84
Dee	Blue Train	1	0.05	100	19.84
Dee	Children Of The Grave	1	0.05	100	19.84
Deep Waters	2 Minutes To Midnight	1	0.05	100	6.61
Deep Waters	Brighter Than a Thousand Suns	1	0.05	100	19.84
Deeper Underground	Always With Me, Always With You	1	0.05	100	19.84
Deeper Underground	Cafezinho	1	0.05	100	19.84
Deeper Underground	Comin' Home	1	0.05	100	9.92
Deixa	Agora Que O Dia Acordou	1	0.05	100	19.84
Deixa	Boogie Blues	1	0.05	100	19.84
Deixa	Bye Bye Blackbird	1	0.05	100	19.84
Demorou!	Aos Leões	1	0.05	100	19.84
Demorou!	Caso Você Queira Saber	1	0.05	100	19.84
Demorou!	Dance	1	0.05	100	19.84
Denúncia	Been A Son	1	0.05	100	19.84
Denúncia	Breed	1	0.05	100	19.84
Desaforo	Avisa	1	0.05	100	19.84
Desaforo	Burn Away	1	0.05	100	19.84
Destitute Illusions	Are You Gonna Be My Girl	1	0.05	100	19.84
Destitute Illusions	As Dores do Mundo	1	0.05	100	19.84
Deuces Are Wild	Angel	1	0.05	100	19.84
Deus Ex Machina	Collaborators	1	0.05	100	19.84
Dezesseis	Achilles Last Stand	1	0.05	50	9.92
Dezesseis	American Woman	1	0.05	50	9.92
Dezesseis	Brumário	1	0.05	50	9.92
Dezesseis	De Noite Na Cama	1	0.05	50	9.92
Die Die My Darling	All Star	1	0.05	100	19.84
Die Die My Darling	Bumbo Da Mangueira	1	0.05	100	19.84
Die Die My Darling	Dazed and Confused	1	0.05	100	9.92
Die Walküre: The Ride of the Valkyries	Armadura	1	0.05	100	19.84
Die Walküre: The Ride of the Valkyries	Billie Jean	1	0.05	100	19.84
Die Walküre: The Ride of the Valkyries	Commercial 2	1	0.05	100	19.84
Die With Your Boots On	09 - Iron Maiden	1	0.05	100	19.84
Die With Your Boots On	Afraid To Shoot Strangers	1	0.05	100	9.92
Die With Your Boots On	Bring Your Daughter... To The Slaughter	1	0.05	100	19.84
Die With Your Boots On	Dance Of Death	1	0.05	100	19.84
Diga Lá, Coração	Ando Meio Desligado	1	0.05	100	19.84
Diga Lá, Coração	Comportamento Geral	1	0.05	100	19.84
Din Din Wo (Little Child)	Call Me a Dog	1	0.05	100	19.84
Din Din Wo (Little Child)	Canon and Gigue in D Major: I. Canon	1	0.05	100	19.84
Din Din Wo (Little Child)	Chega no Suingue	1	0.05	100	19.84
Dirty Day	C'est La Vie	1	0.05	100	19.84
Dirty Little Thing	Christmas Party	1	0.05	100	19.84
Dirty Water Dog	Atomic Punk	1	0.05	100	19.84
Dirty Water Dog	Camarão que Dorme e Onda Leva	1	0.05	100	19.84
Dirty Water Dog	Coração Em Desalinho	1	0.05	100	19.84
Disappearing Act	Call Me a Dog	1	0.05	100	19.84
Disappearing Act	Canon and Gigue in D Major: I. Canon	1	0.05	100	19.84
Disappearing Act	Chega no Suingue	1	0.05	100	19.84
Disappearing Act	Din Din Wo (Little Child)	1	0.05	100	19.84
Discotheque	Crumbs From Your Table	1	0.05	100	19.84
Disenchanted Lullaby	Beira Mar	1	0.05	100	19.84
Disenchanted Lullaby	Come Fly With Me	1	0.05	100	19.84
Disposable Heroes	Battery	1	0.05	100	19.84
Disposable Heroes	Better Than You	1	0.05	100	19.84
Dissident	1/2 Full	1	0.05	100	19.84
Dissident	Any Colour You Like	1	0.05	100	19.84
Dissident	Black	1	0.05	100	19.84
Dissident	Cropduster	1	0.05	100	19.84
Distractions	A Day In the Life	1	0.05	100	19.84
Distractions	Amanhã Não Se Sabe	1	0.05	100	19.84
Diversity Day	A Benihana Christmas, Pts. 1 & 2	1	0.05	100	19.84
Divirta-Se (Saindo Da Sua)	Assum Preto	1	0.05	100	19.84
Divirta-Se (Saindo Da Sua)	Bad, Bad Leroy Brown	1	0.05	100	19.84
Divirta-Se (Saindo Da Sua)	Copacabana (Live)	1	0.05	100	19.84
Diwali	Christmas Party	1	0.05	100	19.84
Diwali	Dirty Little Thing	1	0.05	100	19.84
Do It For The Kids	Atomic Punk	1	0.05	100	19.84
Do It For The Kids	Camarão que Dorme e Onda Leva	1	0.05	100	19.84
Do It For The Kids	Coração Em Desalinho	1	0.05	100	19.84
Do It For The Kids	Dirty Water Dog	1	0.05	100	19.84
Do You Have Other Loves?	'Round Midnight	1	0.05	100	19.84
Do You Have Other Loves?	Beija-Flor	1	0.05	100	19.84
Do You Have Other Loves?	Caprichosos	1	0.05	100	19.84
Do You Have Other Loves?	Começaria Tudo Outra Vez	1	0.05	100	19.84
Do You Like The Way	'Round Midnight	1	0.05	100	19.84
Do You Like The Way	Beija-Flor	1	0.05	100	19.84
Do You Like The Way	Caprichosos	1	0.05	100	19.84
Do You Like The Way	Começaria Tudo Outra Vez	1	0.05	100	19.84
Do You Like The Way	Do You Have Other Loves?	1	0.05	100	19.84
Do what cha wanna	A.N.D.R.O.T.A.Z.	1	0.05	100	19.84
Do what cha wanna	Canta, Canta Mais	1	0.05	100	19.84
Do what cha wanna	Chemical Wedding	1	0.05	100	19.84
Do what cha wanna	Cochise	1	0.05	100	19.84
Doesn't Remind Me	Amazing	1	0.05	100	19.84
Doesn't Remind Me	Blood In The Wall	1	0.05	100	19.84
Doesn't Remind Me	Bored To Tears	1	0.05	100	19.84
Doesn't Remind Me	Carol	1	0.05	100	19.84
Dog Eat Dog	Angel	1	0.05	100	19.84
Dog Eat Dog	Deuces Are Wild	1	0.05	100	19.84
Dois Pra Lá, Dois Pra Cá	Acelerou	1	0.05	100	9.92
Dois Pra Lá, Dois Pra Cá	Action	1	0.05	100	19.84
Dois Pra Lá, Dois Pra Cá	Azul	1	0.05	100	19.84
Dois Pra Lá, Dois Pra Cá	Black Night	1	0.05	100	19.84
Dois Pra Lá, Dois Pra Cá	Cascades : I'm Not Your Lover	1	0.05	100	19.84
Dois Pra Lá, Dois Pra Cá	Cigano	1	0.05	100	19.84
Don't Cry	Anything Goes	1	0.05	100	19.84
Don't Cry	Civil War	1	0.05	100	19.84
Don't Cry (Original)	Back off Bitch	1	0.05	100	19.84
Don't Cry (Original)	Coma	1	0.05	100	19.84
Don't Damn Me	Dead Horse	1	0.05	100	19.84
Don't Go Back To Rockville	A Sua	1	0.05	100	19.84
Don't Go Back To Rockville	Bê-a-Bá	1	0.05	100	19.84
Don't Look Back	1/2 Full	1	0.05	100	19.84
Don't Look Back	Any Colour You Like	1	0.05	100	19.84
Don't Look Back	Black	1	0.05	100	19.84
Don't Look Back	Cropduster	1	0.05	100	19.84
Don't Look Back	Dissident	1	0.05	100	19.84
Don't Look Now	Before You Accuse Me	1	0.05	100	9.92
Don't Look Now	Cotton Fields	1	0.05	100	19.84
Don't Stand so Close to Me	Back Door Man	1	0.05	100	19.84
Don't Stand so Close to Me	Black Moon Creeping	1	0.05	100	19.84
Don't Stand so Close to Me	Corinna	1	0.05	100	19.84
Don't Take Your Love From Me	Agora Que O Dia Acordou	1	0.05	100	19.84
Don't Take Your Love From Me	Boogie Blues	1	0.05	100	19.84
Don't Take Your Love From Me	Bye Bye Blackbird	1	0.05	100	19.84
Don't Take Your Love From Me	Deixa	1	0.05	100	19.84
Double Talkin' Jive	Dead Horse	1	0.05	100	19.84
Double Talkin' Jive	Don't Damn Me	1	0.05	100	19.84
Doutor	Carolina Hard-Core Ecstasy	1	0.05	100	19.84
Doutor	Communication Breakdown(2)	1	0.05	100	19.84
Down By The Seaside	Boogie With Stu	1	0.05	100	19.84
Down By The Seaside	Bron-Y-Aur Stomp	1	0.05	100	19.84
Down On The Corner	Bad Moon Rising	1	0.05	100	19.84
Down On The Corner	Coração do Agreste (Fafá de Belém)	1	0.05	100	19.84
Down by the Sea	2 X 4	1	0.05	100	19.84
Down by the Sea	Aquilo	1	0.05	100	19.84
Down by the Sea	Assaltaram A Gramática	1	0.05	100	19.84
Down by the Sea	Condição	1	0.05	100	19.84
Down by the Sea	Dança Da Solidão	1	0.05	100	19.84
Dream Of Mirrors	09 - Iron Maiden	1	0.05	50	9.92
Dream Of Mirrors	Afraid To Shoot Strangers	1	0.05	50	4.96
Dream Of Mirrors	Bring Your Daughter... To The Slaughter	1	0.05	50	9.92
Dream Of Mirrors	Dance Of Death	1	0.05	50	9.92
Dream Of Mirrors	Die With Your Boots On	1	0.05	50	9.92
Dreams	A Bencao E Outros	1	0.05	100	19.84
Drifter	01 - Prowler	1	0.05	50	9.92
Drifter	Admirável Gado Novo	1	0.05	50	9.92
Drifter	Afraid To Shoot Strangers	1	0.05	50	4.96
Drifter	Back in the Village	1	0.05	50	9.92
Drifter	Blood Brothers	1	0.05	50	4.96
Drifter	Child In Time	1	0.05	50	9.92
Drown	Around The World	1	0.05	100	19.84
Drown Me Slowly	A.N.D.R.O.T.A.Z.	1	0.05	100	19.84
Drown Me Slowly	Canta, Canta Mais	1	0.05	100	19.84
Drown Me Slowly	Chemical Wedding	1	0.05	100	19.84
Drown Me Slowly	Cochise	1	0.05	100	19.84
Drown Me Slowly	Do what cha wanna	1	0.05	100	19.84
Drum Boogie	As Rosas Não Falam (Beth Carvalho)	1	0.05	100	19.84
Drum Boogie	Como É Duro Trabalhar	1	0.05	100	19.84
Drum Boogie	Compulsion	1	0.05	100	19.84
Duende	B.Y.O.B.	1	0.05	100	19.84
E.C.T.	Comin' Home	1	0.05	100	9.92
E.S.P.	'Round Midnight	1	0.05	100	19.84
E.S.P.	Beija-Flor	1	0.05	100	19.84
E.S.P.	Caprichosos	1	0.05	100	19.84
E.S.P.	Começaria Tudo Outra Vez	1	0.05	100	19.84
E.S.P.	Do You Have Other Loves?	1	0.05	100	19.84
E.S.P.	Do You Like The Way	1	0.05	100	19.84
Easy	A Small Victory	1	0.05	100	19.84
Edie (Ciao Baby)	Clash City Rockers	1	0.05	100	19.84
